X1,X2,Y2
6,0,4.180066
6,5,6.040125
6,10,8.450234
6,15,11.700425
6,20,15.90076
6,25,21.80131
6,30,29.10225
6,35,39.40381
6,40,50.6062
6,45,66.2102
6,50,86.0163
6,60,139.04
6,70,220.094
6,80,333.206
6,90,492.44
6,100,715.92
10,0,3.84042
10,5,5.52075
10,10,7.70134
10,15,10.70232
10,20,14.60393
10,25,20.0067
10,30,26.8111
10,35,35.6178
10,40,47.0282
10,45,61.545
10,50,80.069
10,60,130.157
10,70,204.35
10,80,310.73
10,90,464.48
10,100,679.9
10,110,965.4
14,0,3.3924
14,5,4.91415
14,10,6.9571
14,15,9.6618
14,20,13.1196
14,25,18.0316
14,30,24.15
14,35,31.978
14,40,42.221
14,45,55.485
14,50,72.275
14,60,116.6
14,70,186.25
14,80,275.5
14,90,429.8
14,100,634
14,110,908
18,0,2.8835
18,5,4.2325
18,10,5.957
18,15,8.32
18,20,11.395
18,25,15.548
18,30,20.828
18,35,27.845
18,40,36.915
18,45,48.67
18,50,63.61
18,60,104.3
18,70,166.55
18,80,256.6
18,90,389.7
18,100,578
18,110,831
20,0,2.6516
20,5,3.882
20,10,5.484
20,15,7.632
20,20,10.505
20,25,14.42
20,30,19.48
20,35,25.82
20,40,34.86
20,45,45.15
20,50,59.21
20,60,97.9
20,70,158.5
20,80,245.6
20,90,373.1
20,100,559
20,110,812
22,0,2.4034
22,5,3.519
22,10,5.007
22,15,7.044
22,20,9.75
22,25,13.28
22,30,18.12
22,35,24.3
22,40,32.38
22,45,42.94
22,50,56.42
22,60,94.2
22,70,154.3
22,80,240.3
22,90,369
22,100,557
22,110,816
24,0,2.225
24,5,3.317
24,10,4.74
24,15,6.69
24,20,9.3
24,25,12.89
24,30,17.57
24,35,23.54
24,40,31.6
24,45,42.1
24,50,55.6
24,60,93.9
24,70,155
24,80,248.5
24,90,384
24,100,583
24,110,864
26,0,2.17
26,5,3.24
26,10,4.69
26,15,6.68
26,20,9.38
26,25,13.15
26,30,18.06
26,35,24.5
26,40,33.2
26,45,44.4
26,50,59
26,60,101.5
26,70,170.5
26,80,273
26,90,430
26,100,664
26,110,990
28,0,2.5
28,5,3.76
28,10,5.48
28,15,6.9
28,20,11.22
28,25,15.8
28,30,21.7
28,35,29.6
28,40,40.2
28,45,54.3
28,50,72.2
28,60,124.7
28,70,211
28,80,342
28,90,543
28,100,842
28,110,1259
30,0,3.66
30,5,5.47
30,10,7.96
30,15,11.48
30,20,16.01
30,25,22.62
30,30,31.2
30,35,42.3
30,40,57.8
30,45,77.3
30,50,103
30,60,177.5
30,70,295.5
30,80,476
30,90,749
30,100,1155
32,0,6.74
32,5,9.87
32,10,14.07
32,15,20.05
32,20,28.05
32,25,38.87
32,30,53.2
32,35,71.7
32,40,96.7
32,45,128
32,50,168.7
32,60,284.5
32,70,466.5
32,80,743
32,90,1154
34,0,13.95
34,5,20.09
34,10,28.27
34,15,39.5
34,20,54.31
34,25,73.85
34,30,99.32
34,35,131.95
34,40,174.5
34,45,229.1
34,50,297
34,60,490.5
34,70,786.5
36,0,20.68
36,5,42.03
36,10,57.9
36,15,80.19
36,20,108.6
36,25,146.41
36,30,192.08
36,35,254.33
36,40,333.4
36,45,431.4
36,50,555.4
36,60,894.8
38,0,63.53
38,5,87.81
38,10,118.2
38,15,159.75
38,20,212.51
38,25,280.6
38,30,365.03
38,35,471.92
38,40,602.52
38,45,771
38,50,972.4
40,0,130.41
40,5,176.63
40,10,233.94
40,15,308.87
40,20,401
40,25,517.88
40,30,631.09
40,35,835.68
42,0,253.31
42,5,332.48
42,10,430.72
42,15,561.06
42,20,710.56
42,25,902.3
